date,region,course,off,race_name,race_type,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,9,1,9,0,0,Ring Fenced (GB),4,F,132,p,2:24.56,144.56,26.00,David Probert,Andrew Balding,4187.20,69,80,Haafhd (GB),Victoria Pollard GB,Sir Percy,Kingsclere Racing Club,Prominent - raced wide early - pressed leader from under 3f out - pushed along when led under 2f out - soon ridden - kept on well(tchd 28/1)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,8,2,10,1.5,1.5,Daniel Deronda (GB),6,G,136,t,2:24.86,144.86,17.00,Stefano Cherchi,Amy Murphy,1964.80,71,78,Siyouni (FR),Madonna DellOrto GB,Montjeu,A White Partner,Dwelt start - towards rear - pushed along and switched left over 2f out - headway and ridden when prominent on outer over 1f out - kept on and went second final 110yds - always held(tchd 14/1)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,7,3,6,3.25,1.75,Far Horizon (IRE),5,G,131,,2:25.21,145.21,5.00,Aidan Keeley,Michael Scudamore,981.60,71,75,Free Eagle (IRE),Sparkling View (IRE),Danehill Dancer,Mark Dunphy Michael Scudamore,Midfield - headway on outer from 6f out - soon prominent - pushed along from 2f out - soon ridden and edged right - went second inside final furlong - no extra and lost position final 110yds(op 7/2 tchd 10/3)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,2,4,2,4.75,1.5,Dundory (IRE),7,G,135,,2:25.51,145.51,17.00,Gina Mangan,John OShea,491.20,75,76,Holy Roman Emperor (IRE),Lady Bones (IRE),Royal Applause,The Cross Racing Club,Towards rear - headway against far rail from over 2f out - shaken up 2f out - prominent when short of room over 1f out - kept on when in the clear inside final furlong(op 10/1)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,5,5,4,5,0.3,Crimson King (IRE),7,G,134,v,2:25.56,145.56,10.00,Frederick Larson,Michael Appleby,244.80,72,73,Kingman (GB),Toi Et Moi (IRE),Galileo,Terry Pryke,Steadied start - in rear - on outer from 3f out - pushed along from over 2f out - soon outpaced when up the centre - ridden when rallied inside final furlong - kept on(op 5/1)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,4,6,1,5.25,0.1,Eloso (IRE),5,G,139,,2:25.63,145.63,6.00,Luke Morris,Gay Kelleway,,74,74,Kodi Bear (IRE),Caelis GB,Avonbridge,Strictly Fun Racing Short Robinson,Took keen hold - midfield - pushed along from over 2f out - ridden and no extra from over 1f out(op 4/1)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,10,7,7,5.5,0.3,Wurlitzer (GB),5,G,129,v,2:25.66,145.66,5.00,Tom Marquand,Alan King,,64,64,Adaay (IRE),Olympic Medal GB,Nayef,Owners Group 067,In touch with leaders - pushed along when prominent over 2f out - ridden over 1f out - weakened final 110yds(op 10/3 tchd 5/1)
2023-01-04,GB,Kempton (AW),7:30,Unibet Support Safe Gambling Handicap (London Middle Distance Qualifier),Flat,0-75,4yo+,,1m3f,11f,2212,Standard To Slow,8,1,8,3,9.25,3.75,Humanitarian (USA),7,G,141,,2:26.41,146.41,3.25,Rossa Ryan,Stuart Williams,,76,69,Noble Mission (GB),Sharbat (USA),Dynaformer,Craft Thoroughbreds And Partners,Took keen hold - led - clear over 7f out - slowed tempo and reduced lead from over 5f out - increased tempo from over 2f out - pushed along when headed under 2f out - ridden when weakened quickly inside final furlong - soon dropped to last(op 6/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,10,1,3,0,0,Sisters In The Sky (GB),4,G,130,p,1:26.73,86.73,4.33,Hollie Doyle,Roger Teal,4187.20,65,77,Showcasing (GB),Sunny York (IRE),Vale Of York,David Gilmour James Dellaway,Towards rear - switched left and headway 2f out - soon pushed along - ridden and kept on strongly on outer inside final furlong - led final stride - all out(op 11/4)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,9,2,1,0.1,0.1,Satin Snake (GB),4,G,128,b,1:26.75,86.75,5.00,Ryan Sexton,Adrian Paul Keatley,1964.80,66,77,Aclaim (IRE),Snakes Head GB,Golden Snake,Keatley Racing Doherty And Manson,Prominent - pushed along towards far side from 2f out - ridden when pressed leader 1f out - led inside final furlong - no extra and headed final stride(tchd 7/2)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,11,3,7,2.25,2.25,Wizarding (GB),4,G,130,,1:27.18,87.18,3.12,Joshua Bryan,Heather Main,981.60,65,69,Showcasing (GB),Dutch S GB,Dutch Art,Mondial Racing Robert Haim,Led narrowly - pushed along from under 2f out - ridden when headed inside final furlong - no extra and lost position final 110yds(op 3/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,8,4,2,2.75,0.3,First Company (IRE),5,G,124,,1:27.28,87.28,41.00,Billy Loughnane,Mark Loughnane,491.20,66,69,Fast Company (IRE),Pira Palace (IRE),Acclamation,Northern Marking Ltd,Took keen hold - in touch with leaders - pushed along from 2f out - soon prominent - ridden and kept on towards far side inside final furlong(op 28/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,3,5,4,4.5,1.75,Sir Titan (GB),9,G,133,,1:27.63,87.63,17.00,Rob Hornby,Tony Carroll,244.80,68,66,Aqlaam (GB),Femme De Fer GB,Hamas,Wedgewood Estates,Pressed leader - lost position but prominent 4f out - pressed leader again under 3f out - pushed along from 2f out - ridden and no extra inside final furlong(op 14/1 tchd 12/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,12,6,11,5.5,1,Seas Of Elzaam (IRE),6,G,127,,1:27.83,87.83,67.00,George Wood,John Butler,,62,57,Elzaam (AUS),Ocean Sands (IRE),Desert Prince,Power Geneva Ltd,Dwelt start - travelled strongly - in rear - switched right soon after start - shaken up and headway from under 2f out - keeping on when not clear run inside final furlong(op 40/1 tchd 80/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,2,7,6,5.5,0.1,Got No Dollars (IRE),5,G,129,t,1:27.85,87.85,5.00,Luke Catton,Stuart Williams,,69,64,Showcasing (GB),Canada Water GB,Dansili,W Enticknap B Ralph,In touch with leaders - shaken up over 3f out - pushed along and switched right from under 2f out - soon short of room - kept on but not clear run inside final furlong (jockey said gelding was denied a clear run up the home straight)(op 9/2)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,4,8,10,5.5,0.05,Let Em Have It (IRE),4,G,130,tp,1:27.84,87.84,19.00,Mark Crehan,Alice Haynes,,68,63,Ribchester (IRE),Genuine Quality (USA),Elusive Quality,Middleham Park Lxviii V De Sousa,In touch with leaders on outer - prominent 4f out - pushed along from 2f out - soon edged right - ridden and no extra inside final furlong(op 16/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,5,9,9,6.75,1.25,Galileo Glass (IRE),4,G,127,,1:28.08,88.08,21.00,Jordan Williams,David Evans,,67,58,Galileo Gold (GB),Tahoo (IRE),Zebedee,Paul Glass,Towards rear on outer - ridden and no impression from 2f out(op 14/1)
2023-01-04,GB,Kempton (AW),8:00,Try Our New Price Boosts At Unibet Handicap,Flat,0-70,4yo+,,7f,7f,1408,Standard To Slow,11,7,10,12,8.5,1.75,Mr Trick (IRE),5,G,128,p,1:28.43,88.43,67.00,Ben Sanderson,Ian Williams,,66,52,Kodiac (GB),Alkhawarah (USA),Intidab,Ian Williams Racing Club,In rear - shaken up over 2f out - ridden and no impression from over 1f out(op 50/1 tchd 40/1)
